Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
Bachelors,2017.0,New Delhi,3.0,31.0,Female,Yes,5.0,0.0
PHD,2013.0,New Delhi,3.0,28.0,Male,No,2.0,0.0
Bachelors,2016.0,Bangalore,3.0,38.0,Male,No,2.0,0.0
Masters,2014.0,Pune,3.0,39.0,Female,No,2.0,0.0
Bachelors,2013.0,Pune,3.0,32.0,Male,No,4.0,0.0
Masters,2017.0,Pune,2.0,36.0,Male,No,2.0,1.0
Masters,2013.0,New Delhi,,29.0,Male,No,3.0,0.0
Bachelors,2015.0,Bangalore,3.0,30.0,Male,No,5.0,0.0
PHD,2013.0,Bangalore,2.0,25.0,Male,No,3.0,1.0
Bachelors,2014.0,Pune,1.0,22.0,Female,No,0.0,1.0
Bachelors,2016.0,Bangalore,3.0,34.0,Male,No,4.0,0.0
Bachelors,2018.0,Bangalore,3.0,40.0,Male,No,1.0,1.0
PHD,2013.0,Bangalore,3.0,26.0,MALE,No,4.0,0.0
Bachelors,2014.0,New Delhi,3.0,28.0,Male,No,73.1163750232798,0.0
Bachelors,2015.0,Bangalore,3.0,24.0,Female,No,2.0,0.0
Masters,2017.0,Bangalore,3.0,,Female,No,2.0,1.0
Bachelors,2018.0,Bangalore,3.0,23.0,Female,No,1.0,1.0
Masters,2017.0,Bangalore,3.0,31.0,Male,No,4.0,0.0
Bachelors,2014.0,Pune,3.0,25.0,Female,No,3.0,0.0
Bachelors,2014.0,Bangalore,25.104331005232446,27.0,Male,NO,5.0,0.0
Masters,2017.0,New Delhi,2.0,25.0,Female,No,3.0,1.0
Bachelors,2015.0,BANGALORE,3.0,40.0,Male,No,0.0,1.0
Bachelors,2014.0,Bangalore,1.0,23.0,Female,No,1.0,
Bachelors,2017.0,Bangalore,3.0,23.0,Female,No,1.0,0.0
Bachelors,2012.0,Bangalore,3.0,39.0,Male,No,1.0,0.0
PHD,2015.0,New Delhi,1.0,37.0,Male,No,1.0,
Bachelors,2017.0,Pune,3.0,38.0,Male,No,2.0,0.0
Bachelors,2013.0,Bangalore,3.0,31.0,Female,No,0.0,
Bachelors,2016.0,,,38.0,Male,No,5.0,0.0
Bachelors,2017.0,Bangalore,3.0,25.0,Female,No,3.0,0.0
Bachelors,2015.0,Bangalore,3.0,27.0,Female,,5.0,1.0
Bachelors,2016.0,Pune,2.0,36.0,Male,No,0.0,1.0
Bachelors,2017.0,Pune,2.0,27.0,Female,No,5.0,
Masters,2015.0,Pune,2.0,32.0,Female,No,4.0,0.0
Bachelors,2014.0,Bangalore,3.0,28.0,Male,No,4.0,0.0
Masters,2012.0,New Delhi,3.0,32.0,Male,No,2.0,0.0
Bachelors,2018.0,Bangalore,3.0,30.0,Male,No,0.0,22.207526878212015
Bachelors,2015.0,New Delhi,3.0,,Male,No,0.0,0.0
Bachelors,2017.0,New Delhi,2.0,34.0,Female,No,5.0,0.0
Masters,2013.0,New Delhi,3.0,36.0,male,No,2.0,0.0
Bachelors,2014.0,Bangalore,3.0,39.0,Male,No,3.0,1.0
none,2018.0,Bangalore,3.0,26.0,Male,No,4.0,1.0
Bachelors,2016.0,Bangalore,3.0,31.0,Female,No,0.0,0.0
Bachelors,2014.0,Bangalore,3.0,27.0,Male,No,5.0,1.0
Bachelors,2014.0,Bangalore,3.0,29.0,none,no,0.0,0.0
Bachelors,2015.0,Bangalore,3.0,24.0,Female,No,2.0,1.0
Masters,2012.0,Pune,3.0,25.0,male,No,3.0,1.0
Bachelors,2013.0,Pune,3.0,25.0,Male,No,3.0,0.0
Masters,2017.0,New Delhi,3.0,,Female,No,,1.0
Bachelors,2015.0,Pune,25.104331005232446,28.0,Female,Yes,1.0,1.0
BACHELORS,,New Delhi,3.0,28.0,Male,No,2.0,0.0
Masters,2015.0,pune,1.0,28.0,Female,No,3.0,1.0
Masters,,New Delhi,3.0,25.0,Male,No,73.1163750232798,0.0
Bachelors,,Bangalore,3.0,28.0,Male,,1.0,0.0
Masters,2013.0,Pune,3.0,25.0,Male,NO,3.0,0.0
Bachelors,2015.0,Bangalore,,25.0,,No,3.0,1.0
Bachelors,2015.0,Bangalore,3.0,,Female,No,5.0,0.0
Bachelors,2017.0,Pune,2.0,27.0,Female,No,5.0,1.0
Bachelors,2013.0,Bangalore,3.0,27.0,Male,No,5.0,1.0
Bachelors,2104.426204825029,Bangalore,3.0,25.0,Male,No,3.0,0.0
Masters,,New Delhi,2.0,28.0,Male,No,2.0,0.0
Bachelors,2014.0,Pune,1.0,,Female,No,4.0,1.0
Bachelors,2015.0,Bangalore,3.0,28.0,Male,no,2.0,22.207526878212015
Masters,,New Delhi,3.0,26.0,Male,No,4.0,0.0
Bachelors,2017.0,Bangalore,3.0,26.0,,No,4.0,22.207526878212015
bachelors,2017.0,New Delhi,2.0,25.0,Male,No,,0.0
Bachelors,2012.0,Bangalore,25.104331005232446,28.0,female,No,3.0,0.0
PHD,2015.0,New Delhi,3.0,26.0,Male,No,4.0,0.0
Bachelors,2015.0,New Delhi,3.0,25.0,Female,No,3.0,0.0
Bachelors,2012.0,Bangalore,3.0,26.0,Male,No,4.0,1.0
Bachelors,2014.0,Bangalore,3.0,28.0,Female,No,3.0,0.0
Masters,2014.0,,3.0,24.0,Male,No,2.0,0.0
Bachelors,2013.0,Bangalore,3.0,28.0,Male,No,1.0,0.0
Bachelors,2015.0,Pune,3.0,,Male,No,5.0,0.0
Bachelors,2018.0,Bangalore,3.0,25.0,Male,No,3.0,1.0
Masters,2013.0,Pune,1.0,24.0,,No,2.0,1.0
Bachelors,error,Bangalore,,,Female,No,4.0,0.0
Bachelors,2013.0,Bangalore,3.0,28.0,Male,No,1.0,1.0
Masters,2016.0,New Delhi,3.0,27.0,Male,No,5.0,0.0
Masters,2017.0,Bangalore,3.0,26.0,Male,No,73.1163750232798,0.0
Masters,2017.0,New Delhi,2.0,24.0,,No,2.0,0.0
Masters,2018.0,New Delhi,3.0,26.0,Male,No,4.0,1.0
Masters,2017.0,New Delhi,1.0,25.0,Female,No,3.0,1.0
,2012.0,Pune,3.0,28.0,Male,No,2.0,0.0
Bachelors,2017.0,New Delhi,3.0,28.0,Male,No,2.0,0.0
Bachelors,2013.0,Bangalore,3.0,26.0,Male,No,4.0,0.0
Masters,2013.0,New Delhi,3.0,27.0,Male,No,5.0,1.0
Bachelors,2017.0,Pune,2.0,24.0,Female,No,2.0,1.0
,,New Delhi,3.0,28.0,Female,,73.1163750232798,0.0
Bachelors,2016.0,Bangalore,3.0,26.0,Male,No,,0.0
Bachelors,2013.0,Bangalore,3.0,27.0,Female,No,5.0,0.0
Masters,2015.0,Pune,2.0,,Female,No,3.0,0.0
Bachelors,2014.0,Bangalore,3.0,25.0,Male,No,3.0,0.0
Bachelors,2016.0,Pune,3.0,28.0,Male,No,1.0,0.0
Masters,2013.0,Bangalore,1.0,25.0,MALE,No,3.0,1.0
Bachelors,2015.0,,3.0,26.0,male,No,4.0,0.0
Bachelors,2018.0,New Delhi,3.0,27.0,Female,NO,5.0,1.0
Bachelors,2016.0,Bangalore,3.0,24.0,Male,No,2.0,1.0
Bachelors,2012.0,Pune,2.0,24.0,Female,No,2.0,1.0
Bachelors,2014.0,Bangalore,3.0,,Male,No,4.0,0.0
,2016.0,Pune,2.0,24.0,Female,No,2.0,1.0
Masters,2012.0,,3.0,26.0,Female,No,4.0,0.0
Bachelors,2013.0,Bangalore,3.0,28.0,Female,No,3.0,0.0
Bachelors,2012.0,Bangalore,3.0,24.0,Male,No,,1.0
BACHELORS,,Bangalore,3.0,25.0,Male,No,3.0,1.0
BACHELORS,2016.0,Bangalore,3.0,28.0,Male,No,3.0,0.0
Bachelors,2014.0,Bangalore,3.0,28.0,Female,No,3.0,0.0
Bachelors,2013.0,Bangalore,3.0,26.0,Female,No,4.0,0.0
Masters,,New Delhi,3.0,24.0,Female,No,2.0,1.0
BACHELORS,2016.0,BANGALORE,3.0,-47.0,Male,No,3.0,1.0
Bachelors,2015.0,Bangalore,3.0,25.0,Male,No,3.0,0.0
Bachelors,2014.0,Bangalore,3.0,27.0,Male,No,5.0,0.0
Bachelors,error,Bangalore,3.0,24.0,Male,No,2.0,0.0
Bachelors,2014.0,Bangalore,3.0,25.0,Male,No,3.0,0.0
Bachelors,2015.0,Bangalore,3.0,28.0,Male,No,3.0,0.0
Masters,2015.0,New Delhi,,26.0,Male,No,4.0,1.0
Bachelors,2014.0,New Delhi,3.0,28.0,FEMALE,,1.0,0.0
,2015.0,Pune,3.0,25.0,Male,No,73.1163750232798,0.0
Masters,2015.0,PUNE,2.0,28.0,Female,No,2.0,0.0
Bachelors,2014.0,Bangalore,3.0,27.0,Female,No,5.0,0.0
Bachelors,2013.0,Bangalore,3.0,26.0,Male,no,4.0,0.0
Bachelors,2016.0,Bangalore,3.0,26.0,Male,No,4.0,0.0
Bachelors,2012.0,Bangalore,3.0,25.0,Male,,3.0,0.0
Bachelors,2015.0,Bangalore,3.0,25.0,Male,No,3.0,0.0
Bachelors,2014.0,NEW DELHI,3.0,24.0,Female,No,,
Bachelors,2012.0,Bangalore,3.0,27.0,Male,No,5.0,22.207526878212015
Masters,2017.0,New Delhi,3.0,27.0,Male,No,5.0,1.0
Bachelors,2015.0,Pune,3.0,27.0,Male,No,5.0,0.0
Bachelors,2018.0,Bangalore,3.0,24.0,Male,No,2.0,1.0
Masters,2017.0,New Delhi,3.0,27.0,Male,No,5.0,1.0
Masters,2017.0,New Delhi,2.0,28.0,Female,No,1.0,1.0
Masters,2017.0,Pune,2.0,24.0,Male,No,2.0,1.0
Masters,2016.0,New Delhi,3.0,25.0,Female,No,,1.0
PHD,2015.0,New Delhi,3.0,28.0,Female,No,1.0,0.0
Bachelors,2017.0,New Delhi,2.0,26.0,Male,No,4.0,0.0
Bachelors,2013.0,Bangalore,2.0,27.0,Male,No,5.0,0.0
Bachelors,2015.0,Bangalore,,26.0,Male,No,4.0,0.0
Bachelors,2015.0,Bangalore,3.0,26.0,Male,No,73.1163750232798,0.0
Bachelors,2013.0,Bangalore,3.0,28.0,Male,No,1.0,0.0
Bachelors,2015.0,bangalore,3.0,27.0,Female,No,5.0,0.0
Bachelors,2013.0,,3.0,25.0,Female,No,3.0,0.0
Bachelors,2013.0,Pune,3.0,28.0,Male,No,1.0,0.0
Bachelors,2017.0,Pune,3.0,24.0,Male,No,2.0,0.0
Bachelors,2013.0,New Delhi,3.0,27.0,Female,No,5.0,0.0
Bachelors,2015.0,Bangalore,3.0,28.0,Male,Yes,2.0,
Bachelors,2015.0,,3.0,28.0,Male,No,3.0,
Bachelors,2014.0,Pune,2.0,25.0,Female,No,3.0,1.0
Bachelors,2014.0,Bangalore,3.0,25.0,Male,No,3.0,0.0
Bachelors,2017.0,Bangalore,3.0,27.0,Male,No,5.0,0.0
Bachelors,2014.0,Pune,2.0,26.0,Female,No,4.0,1.0
PHD,2013.0,New Delhi,3.0,24.0,Male,,2.0,0.0
Bachelors,2015.0,Pune,2.0,26.0,Female,No,4.0,1.0
Bachelors,2017.0,Bangalore,3.0,25.0,Male,No,3.0,0.0
masters,2013.0,Pune,,27.0,Male,No,5.0,1.0
Masters,2017.0,,3.0,28.0,Male,No,2.0,
bachelors,2012.0,Bangalore,3.0,25.0,,No,3.0,1.0
Bachelors,2017.0,Bangalore,3.0,27.0,Male,No,5.0,22.207526878212015
Masters,2017.0,Pune,2.0,27.0,,No,5.0,0.0
Masters,2013.0,Bangalore,2.0,140.47735463165102,Female,No,2.0,1.0
Masters,2017.0,Pune,3.0,28.0,Male,No,1.0,1.0
Bachelors,2018.0,,3.0,27.0,Female,No,5.0,1.0
Bachelors,2014.0,,3.0,25.0,Female,No,3.0,0.0
MASTERS,2017.0,New Delhi,3.0,27.0,Male,No,5.0,1.0
Masters,,,3.0,26.0,,No,4.0,1.0
Bachelors,2013.0,Pune,2.0,25.0,Female,No,73.1163750232798,1.0
Masters,2012.0,New Delhi,3.0,26.0,,No,4.0,1.0
Bachelors,2016.0,Bangalore,25.104331005232446,25.0,Male,No,3.0,1.0
Bachelors,2013.0,Pune,2.0,26.0,Male,No,4.0,0.0
Bachelors,2018.0,Bangalore,3.0,28.0,,No,2.0,1.0
Bachelors,2013.0,Bangalore,3.0,27.0,Male,No,5.0,0.0
Bachelors,2015.0,pune,1.0,24.0,Female,Yes,2.0,1.0
Bachelors,2013.0,Pune,3.0,28.0,Male,,2.0,0.0
Bachelors,2015.0,Pune,2.0,27.0,Female,Yes,5.0,1.0
Bachelors,2018.0,Bangalore,3.0,25.0,Male,No,3.0,1.0
Bachelors,2014.0,Pune,2.0,27.0,Female,,5.0,1.0
Bachelors,2013.0,Pune,25.104331005232446,24.0,MALE,No,2.0,0.0
Bachelors,2014.0,Pune,3.0,24.0,Male,No,2.0,0.0
PHD,2015.0,NEW DELHI,2.0,25.0,Female,no,73.1163750232798,0.0
Bachelors,2014.0,Bangalore,3.0,,Male,Yes,4.0,22.207526878212015
Bachelors,2018.0,Bangalore,3.0,24.0,Male,No,2.0,1.0
Masters,2015.0,Pune,2.0,140.47735463165102,Female,No,3.0,0.0
Bachelors,2015.0,Bangalore,3.0,24.0,Male,No,2.0,0.0
Bachelors,2014.0,New Delhi,3.0,24.0,Female,no,2.0,0.0
Masters,2017.0,Bangalore,2.0,26.0,Female,no,4.0,1.0
,2012.0,New Delhi,3.0,28.0,Male,No,1.0,0.0
Masters,2104.426204825029,Pune,2.0,140.47735463165102,Female,No,4.0,0.0
Bachelors,2016.0,Pune,3.0,25.0,Male,No,3.0,0.0
Bachelors,2017.0,New Delhi,3.0,24.0,Male,No,2.0,1.0
Bachelors,2013.0,Pune,2.0,28.0,Female,No,3.0,1.0
Bachelors,2014.0,BANGALORE,3.0,25.0,Female,No,3.0,1.0
Bachelors,error,Bangalore,3.0,25.0,Male,No,3.0,0.0
Bachelors,2014.0,Pune,2.0,24.0,Female,No,2.0,1.0
Bachelors,error,Bangalore,3.0,28.0,Male,,2.0,1.0
Bachelors,2104.426204825029,Bangalore,3.0,27.0,Male,No,5.0,0.0
Bachelors,2016.0,Pune,3.0,26.0,Male,No,4.0,0.0
Masters,2015.0,New Delhi,3.0,26.0,Female,No,4.0,1.0
BACHELORS,2016.0,Bangalore,1.0,28.0,Female,No,2.0,0.0
Bachelors,2014.0,Bangalore,3.0,25.0,Male,Yes,3.0,0.0
Bachelors,2014.0,Bangalore,3.0,27.0,Male,No,5.0,
Bachelors,2017.0,Bangalore,3.0,28.0,Male,,2.0,0.0
Masters,2018.0,New Delhi,3.0,24.0,Female,Yes,2.0,1.0
Bachelors,2017.0,Pune,2.0,25.0,Male,no,3.0,0.0
Bachelors,2018.0,Pune,error,24.0,Female,No,,1.0
Masters,2017.0,New Delhi,2.0,28.0,Female,No,1.0,0.0
Bachelors,2013.0,New Delhi,1.0,27.0,Female,no,5.0,0.0
Bachelors,2017.0,New Delhi,2.0,140.47735463165102,Female,No,5.0,0.0
BACHELORS,2104.426204825029,bangalore,3.0,140.47735463165102,MALE,No,1.0,0.0
Bachelors,2016.0,Pune,2.0,27.0,Female,No,5.0,1.0
Masters,2018.0,Bangalore,3.0,,Male,No,2.0,1.0
Bachelors,2012.0,Pune,1.0,26.0,Male,,4.0,0.0
Bachelors,2016.0,Bangalore,3.0,26.0,Male,No,4.0,0.0
Masters,2104.426204825029,New Delhi,1.0,27.0,Male,No,5.0,0.0
Bachelors,2015.0,New Delhi,3.0,26.0,Female,No,4.0,0.0
Bachelors,2012.0,Bangalore,3.0,27.0,,Yes,5.0,0.0
Bachelors,2013.0,Bangalore,3.0,24.0,Male,Yes,2.0,
Bachelors,2018.0,Bangalore,3.0,26.0,Female,No,4.0,1.0
Masters,2017.0,Pune,2.0,26.0,Female,No,4.0,1.0
Masters,2017.0,New Delhi,2.0,28.0,female,No,2.0,0.0
Bachelors,2013.0,Pune,3.0,28.0,Male,No,1.0,0.0
Masters,2013.0,New Delhi,3.0,,Male,No,3.0,0.0
Bachelors,2018.0,Bangalore,3.0,28.0,Female,Yes,1.0,1.0
Bachelors,,Pune,3.0,27.0,Female,No,5.0,1.0
Bachelors,2012.0,,3.0,25.0,Male,No,3.0,0.0
Bachelors,2014.0,Bangalore,3.0,-47.0,Male,No,1.0,0.0
Bachelors,2017.0,New Delhi,3.0,28.0,Female,No,3.0,0.0
Masters,2017.0,,2.0,28.0,MALE,,2.0,0.0
Bachelors,2014.0,Bangalore,3.0,25.0,Male,No,3.0,0.0
Masters,2017.0,New Delhi,3.0,26.0,Male,No,4.0,0.0
Bachelors,2015.0,Pune,1.0,25.0,Female,No,3.0,1.0
Masters,2013.0,New Delhi,3.0,27.0,Male,No,5.0,0.0
PHD,2014.0,Bangalore,3.0,140.47735463165102,Female,No,2.0,0.0
Masters,2017.0,,2.0,27.0,Female,No,5.0,0.0
Bachelors,2018.0,Bangalore,3.0,26.0,Male,No,4.0,1.0
NONE,2012.0,Bangalore,3.0,26.0,Male,No,4.0,0.0
Masters,2015.0,Pune,3.0,,Female,,5.0,1.0
Bachelors,2018.0,Bangalore,3.0,26.0,Male,,4.0,1.0
,2016.0,Bangalore,3.0,24.0,Male,No,2.0,0.0
Masters,2017.0,New Delhi,2.0,25.0,Female,No,3.0,0.0
Bachelors,2017.0,New Delhi,2.0,28.0,Male,No,1.0,0.0
Bachelors,2012.0,New Delhi,3.0,27.0,,No,5.0,0.0
Masters,2013.0,New Delhi,3.0,26.0,,No,4.0,1.0
BACHELORS,2015.0,Bangalore,3.0,26.0,Female,Yes,4.0,1.0
Bachelors,2014.0,Pune,3.0,28.0,Male,No,2.0,0.0
Bachelors,2016.0,Bangalore,3.0,24.0,Female,No,2.0,1.0
Bachelors,2012.0,Bangalore,3.0,28.0,,No,3.0,0.0
Bachelors,2012.0,Bangalore,3.0,27.0,Male,No,5.0,0.0
Bachelors,2013.0,Bangalore,3.0,26.0,Male,NO,4.0,0.0
Bachelors,2014.0,New Delhi,3.0,28.0,Female,No,1.0,0.0
Bachelors,2014.0,New Delhi,3.0,27.0,Female,Yes,5.0,0.0
Bachelors,2015.0,Pune,3.0,26.0,Female,Yes,4.0,1.0
Masters,2014.0,New Delhi,3.0,26.0,Male,,4.0,1.0
PHD,2015.0,New Delhi,3.0,,Female,No,3.0,0.0
Masters,,New Delhi,3.0,25.0,Male,No,3.0,0.0
Bachelors,2012.0,Pune,3.0,27.0,Male,,5.0,0.0
Masters,2104.426204825029,New Delhi,2.0,24.0,Female,No,73.1163750232798,0.0
Bachelors,2016.0,,3.0,24.0,Male,No,,0.0
Masters,2015.0,Pune,3.0,28.0,Female,No,2.0,0.0
Bachelors,2017.0,Bangalore,3.0,24.0,Female,No,2.0,0.0
Bachelors,2017.0,Pune,3.0,25.0,,No,3.0,0.0
Bachelors,2017.0,Bangalore,1.0,25.0,Male,No,3.0,0.0
Masters,2015.0,Pune,3.0,28.0,Female,No,2.0,
Bachelors,2017.0,Pune,3.0,26.0,Male,NO,4.0,0.0
Bachelors,2014.0,Pune,3.0,24.0,,No,2.0,0.0
Bachelors,2014.0,pune,3.0,25.0,Female,No,3.0,1.0
Bachelors,2018.0,Pune,3.0,26.0,,No,4.0,1.0
,2016.0,Bangalore,3.0,27.0,Male,No,5.0,0.0
Bachelors,error,Bangalore,3.0,28.0,Female,No,2.0,22.207526878212015
Bachelors,2012.0,Pune,3.0,28.0,Male,No,2.0,0.0
Masters,2012.0,New Delhi,3.0,,Female,No,2.0,1.0
Bachelors,2013.0,Bangalore,3.0,26.0,Male,No,,0.0
Bachelors,,New Delhi,3.0,26.0,Female,Yes,4.0,0.0
BACHELORS,2017.0,Bangalore,3.0,28.0,Male,No,1.0,0.0
Bachelors,2104.426204825029,Pune,3.0,25.0,Male,Yes,3.0,1.0
Masters,2017.0,New Delhi,3.0,24.0,Male,No,2.0,0.0
Bachelors,error,Bangalore,3.0,28.0,Male,No,,1.0
Bachelors,2017.0,Bangalore,3.0,24.0,Male,No,2.0,0.0
Masters,2017.0,New Delhi,2.0,25.0,Female,No,3.0,1.0
Bachelors,2013.0,pune,2.0,28.0,Female,No,1.0,1.0
Bachelors,2015.0,Bangalore,3.0,24.0,,No,2.0,0.0
Bachelors,2016.0,pune,3.0,26.0,Male,no,4.0,0.0
Bachelors,2015.0,New Delhi,2.0,27.0,Female,No,5.0,1.0
,,Bangalore,3.0,24.0,Female,No,2.0,1.0
Bachelors,2013.0,Bangalore,3.0,27.0,Female,no,5.0,0.0
Bachelors,2013.0,Bangalore,3.0,24.0,Male,Yes,2.0,0.0
Bachelors,2104.426204825029,Bangalore,3.0,,Female,No,2.0,0.0
Bachelors,2104.426204825029,Bangalore,3.0,27.0,Male,No,,0.0
Bachelors,2017.0,Bangalore,25.104331005232446,26.0,Female,No,4.0,0.0
Bachelors,2015.0,,3.0,24.0,Female,No,,0.0
Bachelors,2012.0,Pune,3.0,24.0,Female,No,2.0,1.0
Bachelors,2016.0,Bangalore,3.0,24.0,Male,Yes,2.0,1.0
Bachelors,2012.0,BANGALORE,3.0,28.0,Male,No,3.0,0.0
Bachelors,2017.0,New Delhi,2.0,27.0,Male,No,5.0,0.0
Bachelors,2012.0,Pune,25.104331005232446,27.0,Female,No,5.0,1.0
Masters,2017.0,,2.0,27.0,Male,No,5.0,0.0
Bachelors,2017.0,Pune,2.0,24.0,Male,No,2.0,1.0
Bachelors,2016.0,PUNE,1.0,26.0,Female,No,4.0,1.0
,2015.0,Pune,3.0,26.0,Female,No,4.0,1.0
Bachelors,2016.0,Bangalore,3.0,25.0,Male,No,3.0,1.0
Bachelors,2012.0,Pune,3.0,26.0,Male,No,4.0,0.0
Bachelors,,NONE,3.0,28.0,Male,No,2.0,0.0
bachelors,2012.0,Bangalore,3.0,25.0,Male,No,3.0,0.0
Bachelors,2104.426204825029,Bangalore,3.0,25.0,Female,YES,3.0,0.0
Masters,2017.0,Pune,2.0,26.0,Male,No,4.0,0.0
Masters,error,Pune,3.0,28.0,Male,No,1.0,1.0
Masters,2015.0,Pune,2.0,25.0,Female,No,3.0,1.0
Bachelors,2017.0,New Delhi,2.0,140.47735463165102,,No,4.0,0.0
Bachelors,2017.0,New Delhi,2.0,26.0,Male,No,4.0,0.0
Bachelors,,bangalore,3.0,140.47735463165102,Male,No,5.0,0.0
bachelors,2017.0,New Delhi,3.0,27.0,Female,,5.0,0.0
bachelors,2015.0,New Delhi,3.0,24.0,Female,No,2.0,0.0
Masters,2017.0,,1.0,26.0,Female,No,4.0,1.0
Bachelors,2017.0,New Delhi,1.0,28.0,Female,No,2.0,0.0
bachelors,2015.0,Bangalore,3.0,24.0,Male,No,2.0,0.0
Masters,2015.0,Pune,2.0,25.0,Female,No,,1.0
Bachelors,,Bangalore,3.0,25.0,Female,No,3.0,0.0
Bachelors,2014.0,Bangalore,3.0,28.0,Male,No,2.0,0.0
Bachelors,2104.426204825029,BANGALORE,3.0,28.0,Male,,3.0,
Masters,2015.0,,1.0,27.0,Male,No,5.0,0.0
Bachelors,2014.0,Pune,1.0,26.0,Female,No,4.0,1.0
Masters,error,Bangalore,3.0,25.0,Male,Yes,3.0,1.0
Bachelors,2016.0,BANGALORE,3.0,28.0,NONE,No,3.0,
BACHELORS,2018.0,New Delhi,3.0,26.0,Female,Yes,4.0,1.0
Bachelors,2015.0,Pune,2.0,24.0,Female,No,2.0,1.0
,2017.0,Bangalore,3.0,27.0,Male,Yes,5.0,0.0
Bachelors,2014.0,Bangalore,3.0,26.0,Male,No,,0.0
BACHELORS,2014.0,Bangalore,3.0,24.0,Male,No,2.0,0.0
Bachelors,2016.0,Bangalore,3.0,,,No,2.0,0.0
Bachelors,2015.0,Pune,2.0,25.0,Female,No,3.0,1.0
